Iteration,Cost,Temperature,Sequence
249,117,0,02839072,20 17 15 10 6 5 12 19 18 4 7 1 2 3 9 8 11 13 16 14
250,117,0,02697118,20 17 15 10 7 5 12 19 18 4 6 1 2 3 9 8 11 13 16 14
251,117,0,02562262,20 17 15 10 7 5 12 19 18 4 6 1 2 3 9 8 11 13 16 14
252,117,0,02434149,20 17 15 10 7 5 12 19 18 4 6 1 2 3 9 8 11 13 16 14
253,117,0,02312441,20 17 15 10 7 5 12 19 18 4 6 1 2 3 9 8 11 13 16 14
254,117,0,02196819,20 17 15 10 7 5 12 19 18 4 6 1 2 3 9 8 11 13 16 14
255,117,0,02086978,20 17 15 10 7 5 12 19 18 4 6 1 2 3 9 8 11 13 16 14
256,117,0,01982629,20 17 15 10 7 5 12 19 18 4 6 1 2 3 9 8 11 13 16 14
257,117,0,01883498,20 17 15 10 7 5 12 19 18 4 6 1 2 3 9 8 11 13 16 14
258,117,0,01789323,20 17 15 10 7 5 12 19 18 4 6 1 2 3 9 8 11 13 16 14
259,117,0,01699857,20 17 15 10 7 5 12 19 18 4 6 1 2 3 9 8 11 13 16 14
260,117,0,01614864,20 17 15 10 7 5 12 19 18 4 6 1 2 3 9 8 11 13 16 14
261,117,0,01534121,20 17 15 10 7 5 12 19 18 16 6 1 2 3 9 8 11 13 4 14
262,117,0,01457415,20 17 15 10 7 5 12 19 18 16 6 1 2 3 9 8 11 13 4 14
263,117,0,01384544,20 17 15 10 7 5 12 19 18 16 6 1 2 3 9 8 11 13 4 14
264,117,0,01315317,20 17 15 10 7 5 12 19 18 16 6 1 2 3 9 8 11 13 4 14
265,117,0,01249551,20 17 15 10 7 5 12 19 18 16 6 1 2 3 9 8 11 13 4 14
266,117,0,01187073,20 17 15 10 7 5 12 19 18 16 6 1 2 3 9 8 11 13 4 14
267,117,0,0112772,20 17 15 10 7 5 12 19 18 16 6 1 2 3 9 8 11 13 4 14
268,115,0,01071334,20 17 15 10 4 5 12 19 18 16 6 1 2 3 9 8 11 13 7 14
269,115,0,01017767,20 17 15 10 4 5 12 19 18 16 6 1 2 3 9 8 11 13 7 14
270,115,0,009668786,20 17 15 10 4 5 12 19 18 16 6 1 2 3 9 8 11 13 7 14
271,115,0,009185347,20 17 15 10 4 5 12 19 18 16 6 1 2 3 9 8 11 13 7 14
272,115,0,008726079,20 17 15 10 4 5 12 19 18 16 6 1 2 3 9 8 11 13 7 14
273,111,0,008289775,20 17 7 10 4 5 12 19 18 16 6 1 2 3 9 8 11 13 15 14
274,111,0,007875286,20 17 7 10 4 5 12 19 18 16 6 1 2 3 9 8 11 13 15 14
